מספר,קוד מוצר,קטגוריה,רובד מחיר,שם המוצר,תיאור קצר,עלות משוערת (₪),מחיר מכירה (₪),ערך נתפס (₪),מרווח ברוטו (₪),מרווח %,לינק ישיר למוצר ,לינק AliExpress,מחיר AliExpress ($),לינק Alibaba,מחיר Alibaba ($),לינק TEMU,מחיר TEMU ($)
1,GMA5001,טכנולוגיה שימושית,Essential,כבל טעינה מגנטי 3-ב-1,"USB-C, Lightning, Micro-USB עם חיבור מגנטי",25,59,120,34,58%,https://he.aliexpress.com/item/1005008646445839.html?spm=a2g0o.productlist.main.1.5ddbgDMIgDMIlT&algo_pvid=ac751ace-1752-4f31-9c7b-b01715b5986e&algo_exp_id=ac751ace-1752-4f31-9c7b-b01715b5986e-0&pdp_ext_f=%7B%22order%22%3A%22218%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%2116.95%218.14%21%21%2137.15%2117.83%21%402101364d17727362701376985e65e6%2112000046081033408%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895&curPageLogUid=C4NJ0z1LPPUB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008646445839%7C_p_origin_prod%3A&_gl=1*12ww6vs*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI3MzYyNzIkbzI0JGcxJHQxNzcyNzM2MzIyJGoxMCRsMCRoMA..,https://www.aliexpress.com/w/wholesale-כבל-טעינה-מגנטי-3-ב-1.html,6.76,https://www.alibaba.com/trade/search?SearchText=כבל+טעינה+מגנטי+3-ב-1,5.74,https://www.temu.com/search_result.html?search_key=כבל+טעינה+מגנטי+3-ב-1,6.08
2,GMA5002,טכנולוגיה שימושית,Essential,מעמד טלפון מגנטי לרכב,"התקנה פשוטה, אחיזה חזקה",20,55,140,35,64%,https://www.alibaba.com/product-detail/360-Degree-Rotation-Stable-Glass-Vacuum_1601251704417.html?spm=a2700.galleryofferlist.p_offer.d_image.357b13a0wSGTlQ&s=p,https://www.aliexpress.com/w/wholesale-מעמד-טלפון-מגנטי-לרכב.html,5.41,https://www.alibaba.com/trade/search?SearchText=מעמד+טלפון+מגנטי+לרכב,4.59,https://www.temu.com/search_result.html?search_key=מעמד+טלפון+מגנטי+לרכב,4.86
3,GMA5003,טכנולוגיה שימושית,Essential,אוזניות אלחוטיות TWS אוזניות Bluetooth, למשחקים עם הפחתת רעש במיקרופון אוזניות בס באיכות גבוהה לטלפונים,35,69,180,34,49%,https://www.alibaba.com/product-detail/Best-Selling-TWS-Headphones-Deep-Bass_1600706203434.html?spm=a2700.galleryofferlist.p_offer.d_image.7a1413a009V7XH&s=p,https://www.aliexpress.com/w/wholesale-אוזניות-bluetooth-tws.html,9.46,https://www.alibaba.com/trade/search?SearchText=אוזניות+Bluetooth+TWS,8.04,https://www.temu.com/search_result.html?search_key=אוזניות+Bluetooth+TWS,8.51
4,GMA5004,טכנולוגיה שימושית,Essential,פנס LED קטן נטען,"עם מגנט וקליפס, נטען USB",18,50,110,34,65%,https://he.aliexpress.com/item/1005006780851292.html?spm=a2g0o.productlist.main.7.1811jCO6jCO63U&algo_pvid=745b44b8-fe3f-4ac4-adad-cd25ef20c8c7&algo_exp_id=745b44b8-fe3f-4ac4-adad-cd25ef20c8c7-6&pdp_ext_f=%7B%22order%22%3A%223608%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%2131.64%2115.50%21%21%2169.36%2133.99%21%402140c1c317727383534406871e8e6e%2112000038277250933%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895&curPageLogUid=6ZaK9K8McDyt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006780851292%7C_p_origin_prod%3A&_gl=1*pp6vrj*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI3MzYyNzIkbzI0JGcxJHQxNzcyNzM4MzU1JGoyNyRsMCRoMA..,https://www.aliexpress.com/w/wholesale-פנס-led-קטן-נטען.html,4.86,https://www.alibaba.com/trade/search?SearchText=פנס+LED+קטן+נטען,4.14,https://www.temu.com/search_result.html?search_key=פנס+LED+קטן+נטען,4.38
5,GMA5005,טכנולוגיה שימושית,Essential,טבעת אחיזה מגנטית לטלפון,"PopSocket מגנטי, מונע נפילות, 3 חלקים י ",15,49,100,34,69%,https://he.aliexpress.com/item/1005010648645272.html?spm=a2g0o.productlist.main.3.73ee2aHn2aHn0X&algo_pvid=1b9b4282-446d-4f74-8093-6dd823311c5f&algo_exp_id=1b9b4282-446d-4f74-8093-6dd823311c5f-2&pdp_ext_f=%7B%22order%22%3A%22430%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%2132.08%2113.87%21%21%2170.33%2130.41%21%402141115b17727385521126986ea141%2112000053076693205%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895%3BpisId%3A5000000201405991&curPageLogUid=tSEivpq6Zxs9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010648645272%7C_p_origin_prod%3A&_gl=1*4zo19g*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI3MzYyNzIkbzI0JGcxJHQxNzcyNzM4NTUzJGoyJGwwJGgw,https://www.aliexpress.com/w/wholesale-טבעת-אחיזה-מגנטית-לטלפון.html,4.05,https://www.alibaba.com/trade/search?SearchText=טבעת+אחיזה+מגנטית+לטלפון,3.45,https://www.temu.com/search_result.html?search_key=טבעת+אחיזה+מגנטית+לטלפון,3.65
6,GMA5006,טכנולוגיה שימושית,Premium,"צמיד חכם לגברים ונשים, ","מעקב כושר, שעון חכם ללחץ דם ולדופק",45,85,250,40,47%,https://he.aliexpress.com/item/1005010537025143.html?spm=a2g0o.productlist.main.25.5baaw8tww8twRC&algo_pvid=db1cc453-e00a-411a-94a5-ccb13f0a2bfb&algo_exp_id=db1cc453-e00a-411a-94a5-ccb13f0a2bfb-24&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%2136.28%2117.41%21%21%2179.53%2138.17%21%402102eaa317727387609926364e8a6e%2112000052740120589%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895&curPageLogUid=YJWqhxeb5VoM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010537025143%7C_p_origin_prod%3A&_gl=1*1mpbcko*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI3MzYyNzIkbzI0JGcxJHQxNzcyNzM4NzYyJGoxMCRsMCRoMA..,https://www.aliexpress.com/w/wholesale-שעון-חכם---רצועת-כושר.html,12.16,https://www.alibaba.com/trade/search?SearchText=שעון+חכם+/+רצועת+כושר,10.34,https://www.temu.com/search_result.html?search_key=שעון+חכם+/+רצועת+כושר,10.95
7,GMA5007,טכנולוגיה שימושית,Premium,אוזניות בלוטוס Lenovo HD200,"Over-ear, עבודה היברידית",50,89,220,39,44%,https://he.aliexpress.com/item/1005005740729083.html?spm=a2g0o.productlist.main.1.39d8FrAgFrAgPC&algo_pvid=8c8c36cb-347d-4502-8de0-4a091e5ed5db&algo_exp_id=8c8c36cb-347d-4502-8de0-4a091e5ed5db-0&pdp_ext_f=%7B%22order%22%3A%224421%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%21118.08%2145.63%21%21%21258.83%21100.01%21%400b1bf20a17727391636637449e34e2%2112000038058425438%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895%3BpisId%3A5000000201405991&curPageLogUid=LNEN495SxAgI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005740729083%7C_p_origin_prod%3A&_gl=1*1iczdp*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI3MzYyNzIkbzI0JGcxJHQxNzcyNzM5MTY1JGoyNCRsMCRoMA..,https://www.aliexpress.com/w/wholesale-אוזניות-ביטול-רעשים.html,13.51,https://www.alibaba.com/trade/search?SearchText=אוזניות+ביטול+רעשים,11.49,https://www.temu.com/search_result.html?search_key=אוזניות+ביטול+רעשים,12.16
8,GMA5008,טכנולוגיה שימושית,Premium,תחנת טעינה אלחוטית מהירה LED 3 ב-1 עם עמדה מתקפלת,"iPhone,Apple Watch,Airpods Pro :מתאים ל",40,79,180,39,49%,https://he.aliexpress.com/item/1005010463514472.html?spm=a2g0o.productlist.main.3.4714wJ0twJ0tNc&algo_pvid=cd476ff1-3e71-46d7-b582-ffa02651a1ee&algo_exp_id=cd476ff1-3e71-46d7-b582-ffa02651a1ee-2&pdp_ext_f=%7B%22order%22%3A%22507%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%2154.95%2125.80%21%21%21120.46%2156.55%21%40210156fc17727393125883246efd7c%2112000052497437553%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895%3BpisId%3A5000000201684556&curPageLogUid=DoVJbR8MMKCx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010463514472%7C_p_origin_prod%3A&_gl=1*oytex5*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI3MzYyNzIkbzI0JGcxJHQxNzcyNzM5MzMyJGoyMiRsMCRoMA..,https://www.aliexpress.com/w/wholesale-מטען-אלחוטי-מהיר-+-מעמד.html,10.81,https://www.alibaba.com/trade/search?SearchText=מטען+אלחוטי+מהיר+++מעמד,9.19,https://www.temu.com/search_result.html?search_key=מטען+אלחוטי+מהיר+++מעמד,9.73
10,GMA5010,טכנולוגיה שימושית,Premium,רמקול Bluetooth עמיד למים,"למקלחת, חוף, פיקניק",45,85,200,40,47%,https://he.aliexpress.com/item/1005010306130416.html?spm=a2g0o.productlist.main.18.33c4urbJurbJ3G&algo_pvid=d422af11-e381-44e2-9ee1-b5a5710b8441&algo_exp_id=d422af11-e381-44e2-9ee1-b5a5710b8441-17&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21ILS%21117.59%2149.76%21%21%21257.77%21109.08%21%40213ba8cc17727396186851022e2cc0%2112000051873068431%21sea%21IL%21161352270%21X%211%210%21n_tag%3A-29919%3Bd%3A1f8b74b4%3Bm03_new_user%3A-29895%3BpisId%3A5000000201405991&curPageLogUid=pGPk4666doUb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010306130416%7C_p_origin_prod%3A&_gl=1*a3of20*_gcl_au*MTU1NDU1MDIyMS4xNzcwNzQ2Njg4*_ga*MjEwNTkwNjIwMy4xNzI5NDEwNTkx*_ga_VED1YSGNC7*czE3NzI3MzYyNzIkbzI0JGcxJHQxNzcyNzM5NjE5JGozNiRsMCRoMA..,https://www.aliexpress.com/w/wholesale-רמקול-bluetooth-עמיד-למים.html,12.16,https://www.alibaba.com/trade/search?SearchText=רמקול+Bluetooth+עמיד+למים,10.34,https://www.temu.com/search_result.html?search_key=רמקול+Bluetooth+עמיד+למים,10.95
11,GMA5011,טכנולוגיה שימושית,Elite,שעון חכם עם מסך AMOLED,"מסך AMOLED, נראה פרימיום",55,98,320,43,44%,,https://www.aliexpress.com/w/wholesale-שעון-חכם-עם-מסך-amoled.html,14.86,https://www.alibaba.com/trade/search?SearchText=שעון+חכם+עם+מסך+AMOLED,12.64,https://www.temu.com/search_result.html?search_key=שעון+חכם+עם+מסך+AMOLED,13.38
